1,2,3,4,5,6,7,8
Station name,Parameter,Date from,Date to,Value,calibrationflag,maint flag,Remarks
North Side,SO2,12-09-2020 08:05,12-09-2020 08:20,10.41,0,0,0
North Side,SO2,12-09-2020 08:20,12-09-2020 08:35,14.07,0,0,0
North Side,SO2,12-09-2020 08:35,12-09-2020 08:50,17.73,0,0,0
North Side,SO2,12-09-2020 08:50,12-09-2020 09:05,21.39,0,0,0
North Side,SO2,12-09-2020 09:05,12-09-2020 09:20,24.20,0,0,0
North Side,SO2,12-09-2020 09:20,12-09-2020 09:35,26.71,0,0,0
North Side,SO2,12-09-2020 09:35,12-09-2020 09:50,29.21,0,0,0
North Side,PM10,12-09-2020 07:35,12-09-2020 07:50,26.00,0,0,0
North Side,PM10,12-09-2020 07:50,12-09-2020 08:05,52.00,0,0,0
North Side,PM10,12-09-2020 08:05,12-09-2020 08:20,79.00,0,0,0
North Side,PM10,12-09-2020 08:20,12-09-2020 08:35,106.33,0,0,0
North Side,PM10,12-09-2020 08:35,12-09-2020 08:50,133.33,0,0,0
North Side,PM10,12-09-2020 08:50,12-09-2020 09:05,160.33,0,0,0
North Side,PM10,12-09-2020 09:05,12-09-2020 09:20,181.67,0,0,0
North Side,PM10,12-09-2020 09:20,12-09-2020 09:35,200.67,0,0,0
North Side,PM10,12-09-2020 09:35,12-09-2020 09:50,219.67,0,0,0
